address,city_state_zip,bedsize,bathsize,price,co_owners,monthly_cost,savings
954 Key Ave,"San Francisco, CA, 94124",2.0,1.0,699000,2,1311,7585
1285 Fitzgerald,"San Francisco, CA, 94124",2.0,1.0,699000,2,1311,7585
615 Sargent St,"San Francisco, CA, 94132",2.0,1.0,699000,2,1311,7585
287 Thrift St,"San Francisco, CA, 94112",2.0,2.0,699000,2,1311,7585
427 Randolph St,"San Francisco, CA, 94132",2.0,1.5,699000,2,1311,7585
323 Orizaba Ave,"San Francisco, CA, 94132",2.0,1.0,699000,2,1311,7585
285 Bridgeview,"San Francisco, CA, 94124",2.0,2.0,699000,2,1311,7585
31 Maddux Ave,"San Francisco, CA, 94124",2.0,1.0,700000,2,1313,7596
16 Tioga Ave,"San Francisco, CA, 94134",2.0,1.0,699999,2,1313,7596
227 Randolph St,"San Francisco, CA, 94132",2.0,1.0,725000,2,1360,7867
3431 Mission St #4,"San Francisco, CA, 94110",2.0,1.0,725000,2,1360,7867
227 Garfield St,"San Francisco, CA, 94132",2.0,1.0,725000,2,1360,7867
5800 3rd St,"San Francisco, CA, 94124",2.0,2.0,728000,2,1366,7899
5800 3rd St #1212,"San Francisco, CA, 94124",2.0,2.0,729000,2,1367,7910
116 Caine Ave,"San Francisco, CA, 94112",2.0,1.0,748000,2,1403,8116
194 Gaven St,"San Francisco, CA, 94134",2.0,1.0,748000,2,1403,8116
38 Grafton Ave,"San Francisco, CA, 94112",2.0,1.0,749000,2,1405,8127
5108 Diamond Heights #A,"San Francisco, CA, 94131",2.0,2.0,749000,2,1405,8127
2686 44th Ave,"San Francisco, CA, 94116",2.0,1.0,749000,2,1405,8127
2017 Grant Ave #1,"San Francisco, CA, 94133",2.0,1.0,749000,2,1405,8127
419 Lakeview Ave,"San Francisco, CA, 94112",2.0,1.0,749000,2,1405,8127
307 Page St #1,"San Francisco, CA, 94102",2.0,1.0,749000,2,1405,8127
10 Harris Pl,"San Francisco, CA, 94123",2.0,1.0,750000,2,1407,8138
536 27th St #2,"San Francisco, CA, 94131",2.0,1.0,769000,2,1443,8344
1490 45th Ave,"San Francisco, CA, 94122",2.0,1.0,769000,2,1443,8344
32 Perego Ter,"San Francisco, CA, 94131",2.0,2.0,775000,2,1454,8409
1405 34th Ave,"San Francisco, CA, 94122",2.0,1.0,775000,2,1454,8409
902 Corbett Ave #4,"San Francisco, CA, 94131",2.0,1.0,779000,2,1461,8453
300 Baltimore Way,"San Francisco, CA, 94112",2.0,1.0,780000,2,1463,8464
2685 Pine,"San Francisco, CA, 94115",2.0,1.0,785000,2,1473,8518
75 Dichiera Ct,"San Francisco, CA, 94112",2.0,1.0,795000,2,1491,8626
182 Galewood Cir,"San Francisco, CA, 94131",2.0,2.5,795000,2,1491,8626
287 Monterey Blvd,"San Francisco, CA, 94131",2.0,1.0,798000,2,1497,8659
3319 Lawton St,"San Francisco, CA, 94122",2.0,2.0,799000,2,1499,8670
717 Rolph St,"San Francisco, CA, 94112",2.0,1.0,799000,2,1499,8670
1415 Eddy St,"San Francisco, CA, 94115",2.0,1.0,799000,2,1499,8670
254 Pope St,"San Francisco, CA, 94112",2.0,1.0,799000,2,1499,8670
610 26th Ave,"San Francisco, CA, 94121",2.0,1.0,799000,2,1499,8670
1080 Sutter St #503,"San Francisco, CA, 94109",2.0,1.0,799000,2,1499,8670
880 Silver Ave,"San Francisco, CA, 94134",2.0,1.0,799000,2,1499,8670
101-101 Cleo Rand,"San Francisco, CA, 94124",2.0,2.5,799000,2,1499,8670
155 Harriet St #9,"San Francisco, CA, 94103",2.0,2.0,799000,2,1499,8670
555 Athens St,"San Francisco, CA, 94112",2.0,1.25,799000,2,1499,8670
875 Vermont St #203,"San Francisco, CA, 94107",2.0,1.0,799000,2,1499,8670
1462 Newcomb Ave,"San Francisco, CA, 94124",2.0,2.0,799000,2,1499,8670
1929 48th Ave,"San Francisco, CA, 94116",2.0,1.0,799000,2,1499,8670
351 Niagara,"San Francisco, CA, 94112",2.0,1.0,799000,2,1499,8670
563 Munich St,"San Francisco, CA, 94112",2.0,1.0,799000,2,1499,8670
122 Venus St,"San Francisco, CA, 94124",2.0,2.0,799000,2,1499,8670
834 Arkansas St #3,"San Francisco, CA, 94107",2.0,1.0,799000,2,1499,8670
1018 Hollister Ave,"San Francisco, CA, 94124",2.0,2.0,799000,2,1499,8670
4378 17th St #A,"San Francisco, CA, 94114",2.0,2.0,799000,2,1499,8670
262 Frederick St #1,"San Francisco, CA, 94117",2.0,1.0,799000,2,1499,8670
2262 42nd Ave,"San Francisco, CA, 94116",2.0,1.0,799000,2,1499,8670
2444 15th St,"San Francisco, CA, 94114",2.0,1.0,799000,2,1499,8670
2212-A 23rd St,"San Francisco, CA, 94107",2.0,1.0,799000,2,1499,8670
1587 15th St #201,"San Francisco, CA, 94103",2.0,1.0,799000,2,1499,8670
312 Bowdoin St,"San Francisco, CA, 94134",2.0,1.0,799000,2,1499,8670
2401 44th Ave #5,"San Francisco, CA, 94116",2.0,2.0,799000,2,1499,8670
422 Bright St,"San Francisco, CA, 94132",2.0,2.0,799000,2,1499,8670
350 Ralston St,"San Francisco, CA, 94132",2.0,1.0,799000,2,1499,8670
195 Maynard St,"San Francisco, CA, 94112",2.0,1.0,799000,2,1499,8670
1 Putnam St,"San Francisco, CA, 94110",2.0,1.0,799000,2,1499,8670
6 Mint Plz #703A,"San Francisco, CA, 94103",2.0,1.0,799000,2,1499,8670
250 Circular Ave,"San Francisco, CA, 94131",2.0,1.0,799800,2,1500,8678
990 Randolph St,"San Francisco, CA, 94132",2.0,1.0,799500,2,1500,8675
3270 Market St,"San Francisco, CA, 94114",2.0,2.0,808000,2,1516,8767
97 Lapham Way,"San Francisco, CA, 94112",2.0,1.0,815000,2,1529,8843
2226 Ortega St,"San Francisco, CA, 94122",2.0,1.75,819000,2,1536,8887
75 Roosevelt Way #2,"San Francisco, CA, 94114",2.0,2.0,825000,2,1548,8952
3030 Anza St,"San Francisco, CA, 94121",2.0,1.0,829000,2,1555,8995
1500 25th Ave,"San Francisco, CA, 94122",2.0,1.5,829000,2,1555,8995
900 Bush #1008,"San Francisco, CA, 94109",2.0,2.0,829000,2,1555,8995
781 Athens St,"San Francisco, CA, 94112",2.0,2.0,829988,2,1557,9006
76 Mangels Ave,"San Francisco, CA, 94131",2.0,1.0,845000,2,1585,9169
8 Montezuma St,"San Francisco, CA, 94110",2.0,1.0,849000,2,1593,9212
1036 Potrero Ave #6,"San Francisco, CA, 94110",2.0,2.0,849000,2,1593,9212
2075 Bancroft Ave,"San Francisco, CA, 94124",2.0,1.0,849000,2,1593,9212
64 Sussex St,"San Francisco, CA, 94131",2.0,1.0,849000,2,1593,9212
53 Edinburgh St,"San Francisco, CA, 94112",2.0,1.0,849000,2,1593,9212
90 Aquavista Way,"San Francisco, CA, 94112",2.0,1.0,849000,2,1593,9212
2786 39th Ave,"San Francisco, CA, 94116",2.0,1.5,849000,2,1593,9212
456 Princeton St,"San Francisco, CA, 94134",2.0,1.0,849000,2,1593,9212
1153 Leavenworth St,"San Francisco, CA, 94109",2.0,1.0,849000,2,1593,9212
720 Gough #41,"San Francisco, CA, 94102",2.0,2.0,850000,2,1594,9223
240 Sussex St,"San Francisco, CA, 94131",2.0,1.0,850000,2,1594,9223
76 Bronte St,"San Francisco, CA, 94110",2.0,1.0,849999,2,1594,9223
