address,city_state_zip,bedsize,bathsize,price,co_owners,monthly_cost,savings,gallery_url
343 Stoneridge Ln #5203,"San Francisco, CA, 94134",2.0,2.0,598000,2,1122,6489,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320809
60 Mercury St,"San Francisco, CA, 94124",2.0,1.0,599000,2,1124,6500,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321340
1387 Goettingen,"San Francisco, CA, 94134",2.0,1.0,599000,2,1124,6500,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=319811
27 Talbert St,"San Francisco, CA, 94134",2.0,1.0,599000,2,1124,6500,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318550
2063 41st Ave,"San Francisco, CA, 94116",2.0,1.0,599000,2,1124,6500,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318619
400 Alemany Blvd #19,"San Francisco, CA, 94110",2.0,1.5,599000,2,1124,6500,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318767
1436 Ingalls St,"San Francisco, CA, 94124",2.0,1.0,610000,2,1144,6619,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321970
218 Ordway St,"San Francisco, CA, 94134",2.0,1.0,619000,2,1161,6717,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321682
8200 Oceanview Ter #408,"San Francisco, CA, 94132",2.0,2.0,625000,2,1172,6782,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323651
130 Brazil Ave,"San Francisco, CA, 94112",2.0,1.0,625000,2,1172,6782,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321996
208 N Lake Merced Hls #1A,"San Francisco, CA, 94132",2.0,2.0,628000,2,1178,6814,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318968
3981 Alemany Blvd #110,"San Francisco, CA, 94132",2.0,2.0,629000,2,1180,6825,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323549
3981 Alemany Blvd #209,"San Francisco, CA, 94132",2.0,2.0,629000,2,1180,6825,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320125
301 Crescent Ct #3216,"San Francisco, CA, 94134",2.0,2.0,642000,2,1204,6966,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=322716
124 Majestic Ave,"San Francisco, CA, 94112",2.0,1.0,649000,2,1217,7042,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320561
8100 Oceanview Ter #204,"San Francisco, CA, 94132",2.0,2.0,649000,2,1217,7042,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=319921
20 Drake St,"San Francisco, CA, 94112",2.0,1.0,649000,2,1217,7042,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=322676
840 Potrero Ave,"San Francisco, CA, 94110",2.0,1.0,649000,2,1217,7042,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=31816
157 A St,"South San Francisco, CA, 94080",2.0,1.0,650000,2,1219,7053,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321667
501 Crescent Way #5310,"San Francisco, CA, 94134",2.0,2.0,649900,2,1219,7052,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318568
1211 Bowdoin St,"San Francisco, CA, 94134",2.0,1.0,660000,2,1238,7162,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323515
501 Crescent Way #5212,"San Francisco, CA, 94134",2.0,2.0,668000,2,1253,7248,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323516
301 Crescent Ct #3116,"San Francisco, CA, 94134",2.0,2.0,670000,2,1257,7270,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320164
162 Stoneridge Ln #1207,"San Francisco, CA, 94134",2.0,2.0,679000,2,1274,7368,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323470
201 Pope St,"San Francisco, CA, 94112",2.0,2.0,679000,2,1274,7368,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320663
98 Reddy St,"San Francisco, CA, 94124",2.0,1.0,680000,2,1276,7379,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321170
5800 3rd St #1407,"San Francisco, CA, 94124",2.0,2.0,688000,2,1291,7465,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318979
924 Dwight St,"San Francisco, CA, 94134",2.0,1.0,688888,2,1292,7475,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321201
1 Crescent Way #1107,"San Francisco, CA, 94134",2.0,2.0,689000,2,1292,7476,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318164
1435-1437 Revere Ave,"San Francisco, CA, 94124",2.0,1.0,695000,2,1304,7541,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323241
537 Moultrie St,"San Francisco, CA, 94110",2.0,1.0,695000,2,1304,7541,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323323
1914 34th Ave,"San Francisco, CA, 94116",2.0,1.0,695000,2,1304,7541,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320231
2414 47th Ave,"San Francisco, CA, 94116",2.0,1.0,695000,2,1304,7541,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318852
5122-A Diamond Heights Blvd #A,"San Francisco, CA, 94131",2.0,2.0,698000,2,1309,7574,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318542
131 Naglee Ave,"San Francisco, CA, 94112",2.0,1.0,699000,2,1311,7585,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320750
1488 Harrison St #101,"San Francisco, CA, 94103",2.0,2.0,699000,2,1311,7585,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321121
624 Brussels St,"San Francisco, CA, 94134",2.0,1.0,699000,2,1311,7585,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321336
1862 Ellis St #A,"San Francisco, CA, 94115",2.0,1.0,699000,2,1311,7585,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=322187
574 26th Ave #2,"San Francisco, CA, 94121",2.0,2.0,699000,2,1311,7585,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320124
43 Winding Way,"San Francisco, CA, 94112",2.0,1.0,699000,2,1311,7585,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=319909
954 Key Ave,"San Francisco, CA, 94124",2.0,1.0,699000,2,1311,7585,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=319156
